,username,wafer_num,pos,cap_diam,cap_ind,flags,-1.00,-0.90,-0.80,-0.70,-0.60,-0.50,-0.40,-0.30,-0.20,-0.10,0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00
507,Wafer6_L_200d_p1,6,LEFT,200.0,1,,2.4369763002319e-10,2.4336186414611e-10,2.427754437962146e-10,2.42475531011077e-10,2.4213654487415276e-10,2.4187408955082525e-10,2.4178363303463745e-10,2.4160226003031995e-10,2.412586134040149e-10,2.4101804132590695e-10,2.4075412606775063e-10,2.405258699839e-10,2.4025808849430363e-10,2.400680509578541e-10,2.3985784513957536e-10,2.396477051482259e-10,2.3950785156557147e-10,2.394253869798469e-10,2.3931944391084743e-10,2.392701791820239e-10,2.3921819414281806e-10
434,Wafer6_R_200d_p1_d,6,RIGHT,200.0,1,d,2.441577435165684e-10,2.4383627064867564e-10,2.4345647971528277e-10,2.431660194463443e-10,2.4279578253129303e-10,2.4246187427842806e-10,2.4218339086864096e-10,2.4190019262141046e-10,2.416101572116799e-10,2.4136032265285954e-10,2.411853666039214e-10,2.409942543436521e-10,2.4085887456417574e-10,2.407964729288158e-10,2.406807801488542e-10,2.407032259622438e-10,2.40657226575665e-10,2.4064359031908407e-10,2.4059943990865017e-10,2.4063211918300235e-10,2.4063102982208365e-10
435,Wafer6_R_200d_p2,6,RIGHT,200.0,2,,2.452578621157321e-10,2.4487772143880733e-10,2.445229365660786e-10,2.4425316403690596e-10,2.438989702617434e-10,2.436096618002631e-10,2.43330840062283e-10,2.4301746227432675e-10,2.427458108102471e-10,2.4246222813729707e-10,2.4213111535239267e-10,2.418996587355034e-10,2.416299828682065e-10,2.4140134069185194e-10,2.411446336914631e-10,2.408955277508558e-10,2.407551160507588e-10,2.4060815721981094e-10,2.404904968370677e-10,2.404511675009683e-10,2.403625109873307e-10
436,Wafer6_R_200d_p3,6,RIGHT,200.0,3,,2.452919239272422e-10,2.4492383245766736e-10,2.4460181275076903e-10,2.4425813530546493e-10,2.4396994167832943e-10,2.4366078694145095e-10,2.433417174180566e-10,2.4302435099256203e-10,2.4268609045311715e-10,2.423994456295619e-10,2.4213178383944974e-10,2.4185216474868286e-10,2.416146144526997e-10,2.4130476626791207e-10,2.4109373837088557e-10,2.4087508705157033e-10,2.40688909479244e-10,2.404770727632656e-10,2.40359235536675e-10,2.4028392185001773e-10,2.4022225909166445e-10
437,Wafer6_R_200d_p4,6,RIGHT,200.0,4,,2.483351072766481e-10,2.4801226448453606e-10,2.476976551513269e-10,2.473596576187484e-10,2.470014700280857e-10,2.4678490036024327e-10,2.4644769064366244e-10,2.4615704021196705e-10,2.458642556600202e-10,2.455891249138864e-10,2.4533057566304073e-10,2.4504461398569846e-10,2.4482065045300183e-10,2.4452050029942517e-10,2.442518509480525e-10,2.4408281658258064e-10,2.43963869894989e-10,2.437532275266641e-10,2.4364740620255383e-10,2.435826765350695e-10,2.4348988502951955e-10
495,Wafer6_T_200d_p1,6,TOP,200.0,1,,2.408689533974765e-10,2.404908007562918e-10,2.4020659273679514e-10,2.3996595175735054e-10,2.3965559388138256e-10,2.3936099104232476e-10,2.391062127987881e-10,2.388341113697532e-10,2.3857679680444447e-10,2.383105211927445e-10,2.380459986607855e-10,2.378120125449902e-10,2.3752920752205464e-10,2.3733695816697033e-10,2.3713740630915496e-10,2.3699279180557997e-10,2.3678440047708685e-10,2.3669464491467937e-10,2.36604948044261e-10,2.3651914742918486e-10,2.3649159422592386e-10
497,Wafer6_T_200d_p2,6,TOP,200.0,2,,2.419636818997554e-10,2.416273471052247e-10,2.4130278524372735e-10,2.410657869463235e-10,2.407850286297436e-10,2.404875786200203e-10,2.4016090560198806e-10,2.3992187341799967e-10,2.3966867373889724e-10,2.3942503119560573e-10,2.3912856220906314e-10,2.388940455585693e-10,2.3866991588288487e-10,2.384340371377697e-10,2.382676466819593e-10,2.3808852551151324e-10,2.3789842667434797e-10,2.3776295664149427e-10,2.376690275017829e-10,2.375950386509534e-10,2.375058825219627e-10
498,Wafer6_T_200d_p3,6,TOP,200.0,3,,2.378470330008697e-10,2.375411890240996e-10,2.372282756516044e-10,2.3689691482708993e-10,2.3664550887665813e-10,2.363532136043053e-10,2.360756014509724e-10,2.357480114371724e-10,2.355091664717583e-10,2.3517815332135845e-10,2.3494468800081843e-10,2.346621445459104e-10,2.3447829083929905e-10,2.342296813295819e-10,2.340034876040242e-10,2.3383603299651687e-10,2.3364703396779636e-10,2.3348963791587025e-10,2.3338363252475304e-10,2.3327644292516553e-10,2.332576627292528e-10
274,Wafer5_B_300d_p1,5,BOTTOM,300.0,1,,5.615961994137939e-10,5.607107138670978e-10,5.59984967619726e-10,5.59287215069153e-10,5.586530687598998e-10,5.580470848552657e-10,5.573464855492073e-10,5.566255040930248e-10,5.559639219471845e-10,5.553130427215268e-10,5.547025643530244e-10,5.540680335236374e-10,5.534338829554482e-10,5.528786089412386e-10,5.523180975140658e-10,5.518313844928969e-10,5.513942580117368e-10,5.509966890131096e-10,5.507285025271015e-10,5.504934610677117e-10,5.504390147509476e-10
275,Wafer5_B_300d_p2,5,BOTTOM,300.0,2,,5.640540991048167e-10,5.631615197472147e-10,5.624156445254829e-10,5.617480243049293e-10,5.610577875395392e-10,5.603907507817615e-10,5.598043888202379e-10,5.591428994259302e-10,5.585053427647745e-10,5.578594404000705e-10,5.573269820159401e-10,5.567669446951891e-10,5.561872846451823e-10,5.556399671000515e-10,5.551654621969704e-10,5.547450630211191e-10,5.542822215484602e-10,5.539879040396049e-10,5.537101968964691e-10,5.535006053392263e-10,5.534339355968766e-10
